,predicted,ground_truth,predicted_text,ground_truth_text,text
0,5,3,Social,Procedure,"I just asked Samantha if this activity is timed or if we need to spend a certain amount of time in the chat, Samantha said we can take as long as we want"
1,4,4,Seminar,Seminar,That's what I thought to or how I interpreted the ending
2,4,4,Seminar,Seminar,Hey Ashley Peterson! I also wanted to mention the story mention the King's barbaric nature numerous times so it is highly likely that he would punish his daughter.
3,5,0,Social,Deliberation,Yes I found this by luck...LOL!
4,4,4,Seminar,Seminar,"Ana, I agree with you that the king is so adamant that his system is perfect that he would subject his daughter to it. I think he is somewhat blinded by his own importance, and feels that as king he should also be in charge of everyone's fate.  because if he truly loved her he would not have sent the one man that she loved into the arena. He would have moved mountains to make her happy"
5,4,4,Seminar,Seminar,"I certainly hoped that she was steering her lover away from the tiger, but can see how she would not want to see him with another woman based on the jealousy discussed above."
6,4,4,Seminar,Seminar,Based on the princess' description I had almost expected her to not make any motion towards the door. I assumed she would take the same 'let Fate decide' attitude as the king
7,5,4,Social,Seminar,I liked what you mentioned earlier Kyra
8,4,1,Seminar,Imaginative,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. "
9,5,0,Social,Deliberation,I tried them all at once and it told me wrong lol
10,5,4,Social,Seminar,is that too much?
11,2,4,Other,Seminar,Who knows? 
12,1,4,Imaginative,Seminar,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, "
13,4,4,Seminar,Seminar,"Hello Sandra Coleman, I think it's a good point you made that the King did not consider his daughter's feelings when he made her lover enter the arena. It does seem that when he caught them, it was immediately understood that the lover would have to put his life on the line. For that reason and his barbaric nature that is quoted a lot, I also believe he would make his daughter face her fate in the King's arena."
14,5,5,Social,Social,Hello. 
15,5,0,Social,Deliberation,I know live without him
16,2,4,Other,Seminar,I agree with Cassandra's noticing 
17,2,4,Other,Seminar,w
18,4,4,Seminar,Seminar,"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric."""
19,5,4,Social,Seminar,That's a creative idea!
20,5,5,Social,Social,"Okay, cool"
21,0,4,Deliberation,Seminar,As for the second question I believe that the king would try to cover up the fact she broke the law. I only say that because if he was that mad because someone was her lover I doubt he would send her to die. He would probably rather punish her in private.
22,2,5,Other,Social,(I've been playing dnd too much and it has influenced my writing)
23,4,4,Seminar,Seminar,"Part Two: I think if the King discovered the truth and that the Princess had broken the law, she would be sent to the same fate as her lover. Having to choose between the two  he would ultimately make her choose which door just like other so-called criminals."" doors. The King thinks himself fair and seems to care a great deal about maintaining his just"" rule and appearance. I do think that even if he loves his daughter"
24,0,4,Deliberation,Seminar,I don't think the father would put his daughter through the same system of justice. I wonder if he would even be all the upset though - because either way he is rid of the man causing him problems - either to death or to be married off to someone else.
25,5,3,Social,Procedure,I am late to the discussion 
26,4,4,Seminar,Seminar,"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to "
27,2,4,Other,Seminar,*would not let the princess break the law in the first place.
28,5,0,Social,Deliberation,I like it
29,5,0,Social,Deliberation,"So the top is for chatting and the bottom is for responding, I believe."
30,2,0,Other,Deliberation,Submitted
31,4,4,Seminar,Seminar,"Just realized I never answered the second question. I also agree that while the king may feel a bit of pride for his daughter, he holds his beliefs in his chance of fate style of justice so closely to his chest, so he most likely made an example out of his daughter as well."
32,5,4,Social,Seminar,That's exactly what I think as well.
33,1,4,Imaginative,Seminar,P1: I believe the tiger is behind the door.
34,2,4,Other,Seminar,att
35,2,2,Other,Other,w
36,4,4,Seminar,Seminar,"Part 2
I believe that when the King discovers that his daughter had broken the law by finding out what was behind the door and then signaling to her lover which one to open, he would be in infuriated. The story stated that he was extremely close to the Princess and resented her se ret relationship.  I believe that if the Princess saved her lover from the tiger, he would retry him and put a tiger behind both doors. The Story stated that the King was barbaric in nature so I feel he would make the Princess "
37,4,4,Seminar,Seminar,"Part 2: Her father gets extremely upset with her for signaling her lover behind his back. He then forgives her because she has proven to be as strong as the rest of her family. Understanding that if she can't have him, no else can't either."
38,0,3,Deliberation,Procedure,"Ok, that's how I understand it as well. Let's wait a few more minutes to give Julie a chance to join us. Sound good?"
39,0,0,Deliberation,Deliberation,So how do you guys think we should end it?
40,4,6,Seminar,UX,Did you guys already read the story? It won't move past the part of four questions for me.
41,5,1,Social,Imaginative,And that's true! 
42,5,5,Social,Social,Sorry just getting to everyone's messages
43,5,4,Social,Seminar,Oh that would be a good punishment for her!
44,4,4,Seminar,Seminar, Would the king even entertain that idea given it is his daughter?
45,0,0,Deliberation,Deliberation,Okay so maybe we could each write out an answer for the first part of the question and then we edit the response into one?
46,1,4,Imaginative,Seminar,What would happen then?
47,4,4,Seminar,Seminar,He was tied to his own idealistic principles?
48,5,4,Social,Seminar,I'm not sure. They're probably equally beautiful and just jealous :)
49,6,6,UX,UX,"Rebecca, it was a bit glitchy with me at times and I refreshed and logged back in"
50,4,4,Seminar,Seminar,I also found the story confusing and I had to re-read it several times
51,4,4,Seminar,Seminar,My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.
52,1,4,Imaginative,Seminar,I think the king would subject her to the same law as everyone else and expect her fate to be decided in the arena.
53,4,4,Seminar,Seminar,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman."
54,5,5,Social,Social,"Yes, thank you too. Good job everyone. :)"
55,4,4,Seminar,Seminar,"This is such an unfortunate story. It looks to me that no matter the choice, all parties will be unhappy. I'd like to think that even though she did inherit some of her dad's fury, she would still try to give her lover a chance and not pick the door with the tiger. Perhaps, she doesn't want to be as cruel as her father, and in the name of love, sacrificed her fate to allow her lover to live. I agree with some of your sentiments about the obsession and control the father holds over his daughter. She has "
56,0,0,Deliberation,Deliberation,Are we ready for that?
57,5,5,Social,Social,I'd say we pretty have wrapped things up then. It was nice working with both of you!
58,0,4,Deliberation,Seminar,"As for the King, he will likely send his daughter to face the same punishment as her lover. As a King, he should treat all lawbreaking the same. However, I wonder if he will crack and pull the same trick that the princess had with her lover or if he will remain firm with his decision."
59,0,0,Deliberation,Deliberation,Or we could take turns writing out a paragraph and jump one it from the last person's response.
60,5,4,Social,Seminar,Good idea.
61,5,5,Social,Social,"Hello everyone, can you see this?"
62,-1,4,_______________,Seminar,He sentences her to the same trial.
63,4,4,Seminar,Seminar,"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make"
64,4,4,Seminar,Seminar,I mean I think it states that the king does love the daughter at some point though.
65,4,4,Seminar,Seminar,"I agree with you Lillian Flores about it depending on someone, but I feel that it is up to the person reading the story and reflecting on the actions of the characters. In this case, the princess was jealous of the girl and she was also semi-barbaric like her father, so I feel she would have chosen the door with the tiger for the man. If I go with my own emotions, even though the author said not to base it on that, I would think that the princess would make the right choice with the right door and let him marry the man.  Although, would the man trust the princess enough and choose the same door as she indicated? So behind the right door would be the tiger.  They are both semibarbaric, so the King would most likely be disappointed at first, but either way, he got what he wanted and that was to keep his daughter away from this man. In this case, either sentence would be justice in his eyes."
66,4,4,Seminar,Seminar,"I agree with you ladies. I also think that she sends him to the tiger. She loves him fiercely, so fiercely that she cannot bear the thought of someone else having him. Jealousy can make people do ugly things and mix that in with her pure barbaric nature, it makes sense that she would choose for him to stop living versus living with someone else. Mourning would be easier than seeing the person you love happy with another, which is clear by the ways she describes her thoughts and turmoil over the situation."
67,4,4,Seminar,Seminar,"That's a really insightful point, Gina!"
68,4,4,Seminar,Seminar,That's certainly an interesting way to look at the potential of that kind of ending.
69,4,4,Seminar,Seminar,"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him."""
70,5,6,Social,UX,"Okay, me too! Sorry there's a bit of a delay on my end."
71,5,5,Social,Social,"Sounds good, I am going to get off of here."
72,5,3,Social,Procedure,"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too"
73,0,1,Deliberation,Imaginative,I would feel guilty for the rest of my life.
74,5,5,Social,Social,"Oh, hi Rebecca!"
75,5,5,Social,Social,I think it would be fun too!
76,4,0,Seminar,Deliberation,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. "
77,2,6,Other,UX,It doesn't matter the combo of the questions
78,4,4,Seminar,Seminar,"Part 1: Ultimately, it is left for the reader to decide what is behind the door,"
79,2,1,Other,Imaginative," Personally, I would save him. "
80,5,5,Social,Social,"Thanks. I apologize for delaying you on completing this assignment, but I appreciate your taking the extra time for me. Good luck with the rest of the semester!"
81,2,0,Other,Deliberation,she was smiling by the end and the book told me i did well
82,5,5,Social,Social,Good job!
83,4,4,Seminar,Seminar,"I agree with you, Diane Gonzalez. I am convinced that the princess lead the gentleman to the door hiding the tiger. It would make a brilliant plot twist, but with the information we know about the character of the King, that can be found within the princess as well. In my mind she believes if she can't have the man, she sure does not want another woman to have him, especially someone she despises."
84,4,4,Seminar,Seminar,Hi Helen Howard! I feel this text is meant to unsettle in a way. It wasn't just the barbarism but also the mention of ancestry and blood that made me think it was fatalistic in a way. Kind of like the King and Princess were destined to act in cruel ways. I'm glad that someone else picked up on it too and I really liked your point that it does feel labeling a society in sweeping terms.
85,4,4,Seminar,Seminar,Part 1: I think the princess hints to him the door with the lover. She is described as only semi barberous and so by having her show mercy to her former lover she provides a foil of free will to the Barbarous Kings fate based judicious system.
86,6,6,UX,UX,I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.
87,4,4,Seminar,Seminar,"Part One con't: Oops, sent the rest before finishing this thought. I think the lover goes to the door on the left instead of the door on the right, thinking on her barbaric"" nature and that she'd likely betray him  and finds a lady instead of the tiger. I'm assuming even though he knows her  it would leave him in shock knowing that the Princess would want him dead if she cannot keep him to herself."""
88,4,4,Seminar,Seminar,"When the King discovers that his daughter has broken the law, I believe he would most likely make an exception for her. In the story it stated that the King put the love for his  therefore I highly doubt he would send her into the arena. Because of the King views himself and his daughter as royalty, I would speculate that he would come up with an  alternate punishment for his daughter . daughter above all of humanity"" and that she was the ""apple of his eye"
89,4,4,Seminar,Seminar,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. "
90,4,4,Seminar,Seminar,"I think so. Even though the story said he loved her so much, I think his barbaric nature would take over his reasoning"
91,4,4,Seminar,Seminar,"I feel that with the personalities traits provided to both the king and princess, she decided that death would be more appropriate than another woman, a rival, living happily with her lover. The princess was already wavering with deciding if he was faithful, so why would she give him and her rival the satisfaction? The lion seems to be the only choice for her disposition and upbringing."
92,5,5,Social,Social,Glad you like that idea 
93,5,3,Social,Procedure,"I am on,"
94,4,4,Seminar,Seminar, in being conflicted by happily ever after and greed. I chose the tiger behind the door because the story paints her out to be extremely jealous and barbaric.
95,5,4,Social,Seminar,"Oh, sorry! Yes I read it"
96,5,5,Social,Social,"Kyra, I LOVE what you did for part 1!! "
97,5,1,Social,Imaginative,does this mean we are barbaric too?
98,4,4,Seminar,Seminar,"Whether or not the princess 'saved' him away from the tiger, she interferred and the kind would not allow that."
99,5,3,Social,Procedure,"Perfect, we are all here."
100,4,4,Seminar,Seminar,The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.
101,4,4,Seminar,Seminar," Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion."""
102,5,4,Social,Seminar,Good point you made Rebecca
103,2,4,Other,Seminar,"Although the King is one that like to follows the rules and has a very barbaric side, he doesn't send his daughter to the tribunal. Instead he makes her live with the agony of living without her love and while facing the fact of her character."
104,5,6,Social,UX,So did I. Do you think they are in another course?
105,4,0,Seminar,Deliberation,"I feel the flow doesn't entirely match the original story, but I felt it was awkwardly written and okay. We can add (ending) before it?"
106,4,4,Seminar,Seminar,"My first thought was that the Princess would send her lover to the tiger (because she is like her father and seems to spend a lot more time dwelling on what would happen if he chose the door with the lady than what would happen if he got the tiger), but Michelle makes a good point - that she represents free will in opposition to her father (by finding out what was behind each door). I do think that a lot of this story rests in what the reader brings to it - whether the reader thinks that the Princess would send her lover to death or give him a life without her, depends upon the reader's perception of the world and of the context of the story, rather than just the story itself. Now, I do think that the King would alter the punishment for her daughter when he finds out that she broke the law, simply because he loves her so much and I don't think he would send her to the arena (although I think that would make a more interesting story in my opinion)."
107,-1,6,_______,UX,I can't see when people are online but I can see that you've checked the book recently
108,2,4,Other,Seminar,...
109,4,4,Seminar,Seminar,This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot
110,0,4,Deliberation,Seminar,I agree that the princess could just banish the new couple away too. Do we have to agree on a single ending?
111,4,4,Seminar,Seminar,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is "
112,4,4,Seminar,Seminar,I guess the ending depends on how everyone interprets it
113,4,4,Seminar,Seminar,"I think she tells him to go to the right but he goes to the left, finding the lady behind the door. In that moment realizes that she led him to his death. The Princess then has to face the fact that he found out she would rather see him dead than with the lady."
114,4,4,Seminar,Seminar,"Interesting Jennifer Gonzalez that I initially thought the Tiger because of her jealousy and that if she could not have him, then no one could have him. But, I changed my mind with the hope of a happier ending."
115,5,5,Social,Social,Ahhh I love your response too!
116,-1,0,___________,Deliberation,I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.
117,0,4,Deliberation,Seminar,"If the secret was shared with the community, I also think that it would be her informant that would be punished."
118,5,4,Social,Seminar,"Anna Jones, this is what I was thinking. If you really loved him you wouldnâ€™t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesnâ€™t fall far from the tree and all that. ðŸ™‚"
119,4,3,Seminar,Procedure,I did this assignment twice last semester. I think they are just trying to get feedback on how it works/doesn't work. If the prompts and/or grouping is sufficient.
120,0,4,Deliberation,Seminar, I'm definitely okay with another approach that we can all agree on
121,5,5,Social,Social,Thank you team!  Nice collab!
122,6,6,UX,UX,Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. 
123,0,4,Deliberation,Seminar, I think that she may dislike the idea that he marries another more than him dying.
124,4,4,Seminar,Seminar,had great grief over her lover in anotherâ€™s arms.
125,4,4,Seminar,Seminar,I honestly donâ€™t think the king would have done anything after discovering his daughter broke the law. He probably covered it up or considered her already punished through her lovers fate.
126,0,4,Deliberation,Seminar,she would send him to his death.
127,0,3,Deliberation,Procedure,"I read the story and I am ready for discussion too. Let's decide on a mutual time for this. Thanks,"
128,4,0,Seminar,Deliberation,Live Without Him is probably the most important question
129,4,4,Seminar,Seminar,I have never heard this story before... and I was wondering if it is some kind of folk tale?  Has anyone else seen this story before and do you know what culture it is from?
130,0,4,Deliberation,Seminar,I'm also okay with either ending for Part 1 as well. 
131,5,6,Social,UX,"Oh, yeah! You make up the questions and then can advance!"
132,-1,4,Please,Seminar,She's definitely her father's child.
133,5,0,Social,Deliberation,Any additions?
134,0,0,Deliberation,Deliberation,Should we write it as continuing the story or just as a normal response?
135,5,3,Social,Procedure,I couldn't either.
136,4,4,Seminar,Seminar,"I think that she sends her lover to another woman. Even though the thought of him being with someone else is devastating, I don't think she could handle knowing that she  I was secretly hoping that the Princess would find a way to be the woman behind the door that I can't see her just setting him up to die! I think that the King would put his daughter through the system caused his death. I agree with the idea that we will all bring our own ideas to how we interpret the story; I have always been a Disney fantasyland"" sort of girl- true love conquers all and all that other stuff. But she took such a risk to love him  even if that meant changing his rules about who could court his daughter. As I was reading the story  defying her father and choosing true love over being a princess!"""
137,2,6,Other,UX,I don't think this e-book times out so we should be ok
138,5,5,Social,Social,Okay Hi Rebecca and Katie
139,6,6,UX,UX,"Does anyone have any idea how to ""add the title SUBMITTED"" to our response?"
140,0,6,Deliberation,UX,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response"
141,2,0,Other,Deliberation,we should keep it simple
142,4,4,Seminar,Seminar,that the emphasis on barbarism implies that she sent him to the lion.
143,1,4,Imaginative,Seminar,But I'm not sure how this princess would think.
144,4,4,Seminar,Seminar,"Hi Diane Gonzalez and Deborah Evans. I'm sorry to be so late joining the conversation. If I ponder too long, I'll never come to a conclusion, so I'm going to write my first thoughts. I share your  he's barbaric, and he's fine doling out punishment to his own daughter, as his punishment of her lover has in effect punished her as well. take that the princess will direct the gentleman to the tiger - she's lost him either way and her jealousy and barbarism are too great. On the other hand, the text describes her and the gentleman as having one soul, which I take to mean he would know if she chose the tiger, in which case he'd choose the other door, yet he doesn't. So does that mean she didn't choose the tiger? Or that he'd rather die than be with another woman? For Part 2, I believe the king likely would not show mercy, even to his own daughter, as he has consistently relied on this method of justice"
145,4,4,Seminar,Seminar,Me too I had to reread the first couple pages several times before I understood what was going on.
146,0,4,Deliberation,Seminar,I don't think we have to agree on a single ending as both are viable. I still will go with the Lady as being behind the curtain. The King will be upset with this but will forgive his daughter. He may do something else to the boyfriend later.
147,5,4,Social,Seminar,I agree with Ashely 
148,0,4,Deliberation,Seminar,This could either cause the King to become even more barbaric or to stop these trials all together
149,1,4,Imaginative,Seminar,"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal."
150,5,0,Social,Deliberation,Hey guys I got through the next page
151,5,4,Social,Seminar,"Hi Anne Lee. Yes, the reader will certainly bring her or his background and ideas to the story. And the king did indeed get what he wanted. Good points!"
152,5,5,Social,Social,"I know, I've been waiting my the computer"
153,5,5,Social,Social,Looks good! I guess we can complete the post survey and submit our assignment
154,4,4,Seminar,Seminar,"Though, I do think it would have been particularly interesting to see her point him to the tiger, just for the tiger to not eat him by some stroke of luck. Perhaps the universe truly showing that the innocent go unpunished in this king's model of justice"
155,4,4,Seminar,Seminar,"So if the King puts his daughter on trial, does that mean he sets her up with 2 doors as well?"
156,2,6,Other,UX,I'm in google chrome
157,2,4,Other,Seminar,I honestly found the writing style in the story kind of confusing?
158,4,4,Seminar,Seminar,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover."
159,0,4,Deliberation,Seminar,"Without someone seeing her give the signal, they really cannot accuse her of helping him"
160,-1,4,_______________,Seminar,I could be wrong but I think the daughter's door opened up to being with her lover?
161,5,4,Social,Seminar,I like it...
162,4,4,Seminar,Seminar,"I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric"" throughout the text."
163,4,4,Seminar,Seminar,I agree Linda Long. It makes logical sense as a conclusion based on previous events in the story.
164,1,4,Imaginative,Seminar,"Part Two:  I believe the King would send his daughter to the tribunal, because even though he loves her and she is the apple of his eye, he is illustrated to be set in his ways.  He would not make an exception for her because he feels that he needs to establish his power over the citizens of the kingdom.  If he subjects his daughter to the same punishment, then he is proving his stance and making an example of her to his kingdom.  I believe she would find a way to outwit the King, maybe with the help of her lover who she granted life to in part one."
165,5,5,Social,Social,:D
166,4,1,Seminar,Imaginative,What would you do in her place?
167,5,5,Social,Social,Good morning
168,5,4,Social,Seminar,"That is a good point, Victoria"
169,4,4,Seminar,Seminar,I had not considered Ashley's idea that this experience might be an 
170,4,1,Seminar,Imaginative, It would hurt worse to know his death was my fault than to know that he was happy with someone else. 
171,2,0,Other,Deliberation,Which questions? like the prompt?
172,0,4,Deliberation,Seminar,"But I think he would also revel in the fact that his daughter could be so barbaric. However, he does seem to hold the random chance of fate of the arena in the highest regard so although he loves his daughter above all else I think he may make an example of her. Especially if the people found out what happened"
173,0,4,Deliberation,Seminar,I definitely agree with all of you stating that the king likely would subject his daughter to the same form of judgement in the arena if her actions were discovered.
174,2,4,Other,Seminar,acce
175,5,3,Social,Procedure,Do we know how many people are part of this group? 
176,5,4,Social,Seminar,it's wonderful!
177,5,4,Social,Seminar,Do you think the lady is more beautiful than the princess?
178,0,4,Deliberation,Seminar,"If she really loves him, she should want him to be with someone else and alive rather than dead!"
179,2,4,Other,Seminar,The Lady was behind the door.
180,0,1,Deliberation,Imaginative,"Not what do you think she would do, but what would you do if you were in the situation? "
181,5,0,Social,Deliberation,ok
182,2,0,Other,Deliberation,"Live without was the first one I put.  Then Trust, Love, and then Know"
183,5,6,Social,UX,ooooh
